id,residuos_negativos,ztest_spatial_low,quantile,lisa_LH,n_votes
18762078.0,1,0,0,0,1
16869747.0,1,0,0,0,1
18924638.0,1,0,0,0,1
18818385.0,1,0,0,0,1
18662511.0,1,0,0,0,1
18301376.0,1,0,0,0,1
18048628.0,1,0,0,0,1
18921300.0,1,0,0,0,1
18308239.0,1,0,0,0,1
9020192.0,1,0,0,0,1
18996796.0,1,0,0,0,1
18692689.0,1,0,0,0,1
17767976.0,1,0,0,0,1
18996639.0,1,0,0,0,1
18814239.0,1,0,0,0,1
18661089.0,1,0,0,0,1
18910645.0,1,0,0,0,1
18159652.0,1,0,0,0,1
18996831.0,1,0,0,0,1
17664884.0,1,0,0,0,1
18158591.0,1,0,0,0,1
18875522.0,1,0,0,0,1
18320782.0,1,0,0,0,1
18333627.0,1,0,0,0,1
18851341.0,1,0,0,0,1
16468182.0,1,0,0,0,1
18855495.0,1,0,0,0,1
18995950.0,1,0,0,0,1
11076634.0,1,0,0,0,1
18971659.0,1,0,0,0,1
18996011.0,1,0,0,0,1
18996132.0,1,0,0,0,1
18596876.0,1,0,0,0,1
18995898.0,1,0,0,0,1
18171407.0,1,0,0,0,1
18995765.0,1,0,0,0,1
18401818.0,1,0,0,0,1
18996240.0,1,0,0,0,1
17834287.0,1,0,0,0,1
18262382.0,1,0,0,0,1
18993936.0,1,0,0,0,1
18996281.0,1,0,0,0,1
18449464.0,1,0,0,0,1
18959338.0,1,0,0,0,1
18989878.0,1,0,0,0,1
18810792.0,1,0,0,0,1
18329716.0,1,0,0,0,1
18875557.0,1,0,0,0,1
18537309.0,1,0,0,0,1
18949917.0,1,0,0,0,1
18572102.0,1,0,0,0,1
18080631.0,1,0,0,0,1
18536756.0,1,0,0,0,1
18130345.0,1,0,0,0,1
18659470.0,1,0,0,0,1
18566758.0,1,0,0,0,1
18910534.0,1,0,0,0,1
18909901.0,1,0,0,0,1
17889545.0,1,0,0,0,1
18059986.0,1,0,0,0,1
18875598.0,1,0,0,0,1
18910543.0,1,0,0,0,1
18875758.0,1,0,0,0,1
18875784.0,1,0,0,0,1
18875840.0,1,0,0,0,1
18875839.0,1,0,0,0,1
14941464.0,1,0,0,0,1
17229771.0,1,0,0,0,1
17187849.0,1,0,0,0,1
18216837.0,1,0,0,0,1
17333342.0,1,0,0,0,1
18048012.0,1,0,0,0,1
18754378.0,1,0,0,0,1
18945465.0,1,0,0,0,1
17704484.0,1,0,0,0,1
18000349.0,1,0,0,0,1
17692807.0,1,0,0,0,1
16424624.0,1,0,0,0,1
13568335.0,1,0,0,0,1
14581719.0,1,0,0,0,1
17469463.0,1,0,0,0,1
17348494.0,1,0,0,0,1
15698884.0,1,0,0,0,1
18181284.0,1,0,0,0,1
18662930.0,1,0,0,0,1
11403871.0,1,0,0,0,1
18340774.0,1,0,0,0,1
8464414.0,1,0,0,0,1
18278065.0,1,0,0,0,1
18728787.0,1,0,0,0,1
17962241.0,1,0,0,0,1
18230442.0,1,0,0,0,1
18667871.0,1,0,0,0,1
18427722.0,1,0,0,0,1
18140758.0,1,0,0,0,1
18677113.0,1,0,0,0,1
16123248.0,1,0,0,0,1
17531573.0,1,0,0,0,1
18835858.0,1,0,0,0,1
15620637.0,1,0,0,0,1
15996003.0,1,0,0,0,1
12832330.0,1,0,0,0,1
18488453.0,1,0,0,0,1
18852693.0,1,0,0,0,1
17892286.0,1,0,0,0,1
18690996.0,1,0,0,0,1
18995501.0,1,0,0,0,1
15729186.0,1,0,0,0,1
17187120.0,1,0,0,0,1
18989543.0,1,0,0,0,1
18394389.0,1,0,0,0,1
16865718.0,1,0,0,0,1
15654043.0,1,0,0,0,1
18984798.0,1,0,0,0,1
18836679.0,1,0,0,0,1
18259335.0,1,0,0,0,1
17404870.0,1,0,0,0,1
18347721.0,1,0,0,0,1
10219822.0,1,0,0,0,1
18322790.0,1,0,0,0,1
17771538.0,1,0,0,0,1
18330906.0,1,0,0,0,1
18040043.0,1,0,0,0,1
18708107.0,1,0,0,0,1
18589451.0,1,0,0,0,1
18559493.0,1,0,0,0,1
18592369.0,1,0,0,0,1
18820993.0,1,0,0,0,1
17330326.0,1,0,0,0,1
18024912.0,1,0,0,0,1
17791709.0,1,0,0,0,1
16680919.0,1,0,0,0,1
18732017.0,1,0,0,0,1
17969526.0,1,0,0,0,1
16952531.0,1,0,0,0,1
17990868.0,1,0,0,0,1
